loan_amnt,int_rate,annual_inc,dti,delinq_2yrs,revol_bal,total_acc,actual_default,default_probability,risk_score,risk_band,decision
18000.0,7.9,40000.0,18.82,1.0,22027.0,28.0,0,0.105,10.5,Low Risk,Approve
12000.0,7.9,49000.0,14.69,0.0,9563.0,25.0,1,0.03,3.0,Low Risk,Approve
20000.0,14.64,65000.0,21.42,0.0,20320.0,30.0,0,0.16,16.0,Low Risk,Approve
6000.0,14.99,88000.0,20.21,0.0,17266.0,24.0,0,0.16,16.0,Low Risk,Approve
1800.0,21.7,29000.0,22.31,0.0,2021.0,26.0,1,0.21,21.0,Medium Risk,Manual Review
20000.0,9.44,95000.0,16.92,0.0,29313.0,22.0,0,0.13,13.0,Low Risk,Approve
1000.0,9.88,36000.0,12.03,0.0,12061.0,9.0,0,0.195,19.5,Low Risk,Approve
5000.0,13.49,45000.0,17.79,7.0,1165.0,39.0,0,0.15,15.0,Low Risk,Approve
5000.0,18.45,35928.48,29.09,0.0,35396.0,14.0,0,0.375,37.5,Medium Risk,Manual Review
12000.0,9.44,71000.0,7.98,0.0,5797.0,10.0,0,0.14,14.0,Low Risk,Approve
10000.0,13.44,80000.0,15.56,1.0,8297.0,24.0,0,0.09,9.0,Low Risk,Approve
9600.0,11.11,40000.0,26.79,0.0,33529.0,18.0,0,0.17,17.0,Low Risk,Approve
9600.0,10.15,40000.0,14.73,0.0,10427.0,10.0,1,0.08,8.0,Low Risk,Approve
20000.0,17.97,85000.0,11.1,0.0,13206.0,18.0,0,0.28,28.0,Medium Risk,Manual Review
30000.0,13.99,60000.0,26.26,0.0,36062.0,32.0,0,0.3,30.0,Medium Risk,Manual Review
30000.0,9.99,75000.0,33.9,0.0,12855.0,27.0,1,0.155,15.5,Low Risk,Approve
10000.0,11.99,102500.0,30.02,0.0,111807.0,44.0,0,0.125,12.5,Low Risk,Approve
9075.0,13.66,78000.0,22.29,0.0,12951.0,26.0,0,0.195,19.5,Low Risk,Approve
5500.0,9.99,34680.0,39.48,0.0,20675.0,27.0,0,0.215,21.5,Medium Risk,Manual Review
2000.0,13.99,60000.0,19.42,0.0,16645.0,28.0,0,0.2,20.0,Medium Risk,Manual Review
1750.0,11.48,90000.0,16.6,1.0,21462.0,26.0,0,0.11,11.0,Low Risk,Approve
8400.0,10.15,45000.0,17.25,0.0,7438.0,27.0,0,0.125,12.5,Low Risk,Approve
16000.0,21.85,66000.0,34.89,0.0,5529.0,27.0,0,0.4,40.0,Medium Risk,Manual Review
15000.0,18.06,26000.0,45.61,0.0,9357.0,28.0,0,0.245,24.5,Medium Risk,Manual Review
7500.0,5.32,72000.0,23.48,0.0,48352.0,38.0,0,0.065,6.5,Low Risk,Approve
9750.0,13.59,57500.0,12.67,0.0,9089.0,11.0,0,0.055,5.5,Low Risk,Approve
27600.0,18.99,60000.0,16.48,0.0,6521.0,20.0,1,0.405,40.5,Medium Risk,Manual Review
10000.0,13.98,51000.0,14.07,0.0,6727.0,14.0,0,0.185,18.5,Low Risk,Approve
6000.0,7.69,45000.0,31.81,0.0,27193.0,34.0,1,0.1,10.0,Low Risk,Approve
14525.0,13.67,105000.0,11.67,2.0,7289.0,32.0,0,0.235,23.5,Medium Risk,Manual Review
